region,year,border_delay_index,lpi_score,proxy_source
ARG,2018,0.5617977528089887,2.89,lpi
ARG,2019,0.5681818181818181,2.8675,lpi
ARG,2020,0.5795454545454548,2.8449999999999998,lpi
ARG,2021,0.6065573770491806,2.8225,lpi
ARG,2022,0.6315789473684212,2.8,lpi
ARG,2023,0.6315789473684212,2.8,lpi
ARG,2024,0.6315789473684212,2.8,lpi
ARG,2025,0.6315789473684212,2.8,lpi
ATG,2018,0.5561797752808989,2.9,lpi
ATG,2019,0.5497159090909092,2.9,lpi
ATG,2020,0.5482954545454546,2.9,lpi
ATG,2021,0.5642076502732241,2.9,lpi
ATG,2022,0.5789473684210527,2.9,lpi
ATG,2023,0.5789473684210527,2.9,lpi
ATG,2024,0.5789473684210527,2.9,lpi
ATG,2025,0.5789473684210527,2.9,lpi
BHS,2018,0.7640449438202248,2.53,lpi
BHS,2019,0.7357954545454546,2.5725,lpi
BHS,2020,0.7102272727272727,2.615,lpi
BHS,2021,0.6967213114754098,2.6575,lpi
BHS,2022,0.6842105263157894,2.7,lpi
BHS,2023,0.6842105263157894,2.7,lpi
BHS,2024,0.6842105263157894,2.7,lpi
BHS,2025,0.6842105263157894,2.7,lpi
BOL,2018,0.8595505617977528,2.36,lpi
BOL,2019,0.8508522727272727,2.37,lpi
BOL,2020,0.8437500000000001,2.38,lpi
BOL,2021,0.8428961748633882,2.3899999999999997,lpi
BOL,2022,0.8421052631578948,2.4,lpi
BOL,2023,0.8421052631578948,2.4,lpi
BOL,2024,0.8421052631578948,2.4,lpi
BOL,2025,0.8421052631578948,2.4,lpi
BRA,2018,0.5056179775280898,2.99,lpi
BRA,2019,0.4687499999999998,3.0425000000000004,lpi
BRA,2020,0.4375,3.095,lpi
BRA,2021,0.4289617486338798,3.1475,lpi
BRA,2022,0.42105263157894735,3.2,lpi
BRA,2023,0.42105263157894735,3.2,lpi
BRA,2024,0.42105263157894735,3.2,lpi
BRA,2025,0.42105263157894735,3.2,lpi
CAN,2018,1.0,3.73,bts
CAN,2019,1.0,3.7975,bts
CAN,2020,1.0,3.865,bts
CAN,2021,0.0,3.9325,bts
CAN,2022,1.0,4.0,bts
CAN,2023,1.0,4.0,bts
CAN,2024,0.0,4.0,bts
CAN,2025,1.0,4.0,bts
CHL,2018,0.3202247191011237,3.32,lpi
CHL,2019,0.35653409090909105,3.2399999999999998,lpi
CHL,2020,0.40056818181818177,3.16,lpi
CHL,2021,0.46584699453551914,3.08,lpi
CHL,2022,0.5263157894736843,3.0,lpi
CHL,2023,0.5263157894736843,3.0,lpi
CHL,2024,0.5263157894736843,3.0,lpi
CHL,2025,0.5263157894736843,3.0,lpi
COL,2018,0.5337078651685394,2.94,lpi
COL,2019,0.5326704545454548,2.9299999999999997,lpi
COL,2020,0.5369318181818183,2.92,lpi
COL,2021,0.5587431693989071,2.91,lpi
COL,2022,0.5789473684210527,2.9,lpi
COL,2023,0.5789473684210527,2.9,lpi
COL,2024,0.5789473684210527,2.9,lpi
COL,2025,0.5789473684210527,2.9,lpi
CRI,2018,0.6179775280898876,2.79,lpi
CRI,2019,0.5965909090909092,2.8175,lpi
CRI,2020,0.5795454545454548,2.8449999999999998,lpi
CRI,2021,0.5792349726775956,2.8725,lpi
CRI,2022,0.5789473684210527,2.9,lpi
CRI,2023,0.5789473684210527,2.9,lpi
CRI,2024,0.5789473684210527,2.9,lpi
CRI,2025,0.5789473684210527,2.9,lpi
CUB,2018,0.9494382022471909,2.2,lpi
CUB,2019,0.9474431818181817,2.2,lpi
CUB,2020,0.9460227272727272,2.2,lpi
CUB,2021,0.9467213114754097,2.2,lpi
CUB,2022,0.9473684210526315,2.2,lpi
CUB,2023,0.9473684210526315,2.2,lpi
CUB,2024,0.9473684210526315,2.2,lpi
