region,year,border_delay_index
CAN,2018,1.0
CAN,2019,1.0
CAN,2020,1.0
CAN,2021,0.0
CAN,2022,1.0
CAN,2023,1.0
CAN,2024,0.0
CAN,2025,1.0
CAN,2026,0.5
MEX,2018,0.0
MEX,2019,0.0
MEX,2020,0.0
MEX,2021,1.0
MEX,2022,0.0
MEX,2023,0.0
MEX,2024,1.0
MEX,2025,0.0
MEX,2026,0.5
USA,2018,0.4802345676256847
USA,2019,0.46868763617433945
USA,2020,0.45025994504485345
USA,2021,0.5550964343563101
USA,2022,0.43078640625338194
USA,2023,0.42895119545841076
USA,2024,0.5784741471155642
USA,2025,0.4097016320772973
USA,2026,0.5
