REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,obs_base,obs_alt,gap_alt_minus_base,ratio_alt_to_base,pct_gap_alt_vs_base
CHN,_T,OECD,USD,A,2000,140440.664,102185.052,-38255.611999999994,0.7276030252890289,-27.239697471097113
CHN,_T,OECD,USD,A,2001,150627.498,114459.242,-36168.255999999994,0.759882780500012,-24.011721949998797
CHN,_T,OECD,USD,A,2002,180297.309,138025.993,-42271.31600000002,0.7655466061337609,-23.445339386623914
CHN,_T,OECD,USD,A,2003,228295.885,177528.817,-50767.068,0.7776260049540534,-22.23739950459466
CHN,_T,OECD,USD,A,2004,297046.123,233664.307,-63381.81600000002,0.7866263482590546,-21.337365174094536
CHN,_T,OECD,USD,A,2005,381749.075,293455.271,-88293.804,0.7687124611893297,-23.128753881067034
CHN,_T,OECD,USD,A,2006,454669.618,341050.256,-113619.36200000002,0.75010566463669,-24.989433536330996
CHN,_T,OECD,USD,A,2007,575484.465,412065.122,-163419.343,0.7160317038271398,-28.39682961728602
CHN,_T,OECD,USD,A,2008,680415.126,468023.766,-212391.36000000004,0.6878503256554587,-31.214967434454127
CHN,_T,OECD,USD,A,2009,564972.199,394452.524,-170519.67500000005,0.6981804143605302,-30.18195856394697
CHN,_T,OECD,USD,A,2010,715967.293,492774.265,-223193.02799999993,0.6882636536862028,-31.173634631379727
CHN,_T,OECD,USD,A,2011,859621.582,590985.899,-268635.6830000001,0.6874954181873949,-31.250458181260516
CHN,_T,OECD,USD,A,2012,899326.819,621775.193,-277551.62600000005,0.6913784620494009,-30.862153795059907
CHN,_T,OECD,USD,A,2013,963285.248,674341.283,-288943.96499999997,0.7000431953049073,-29.99568046950927
CHN,_T,OECD,USD,A,2014,1079112.988,737037.941,-342075.0469999999,0.6830034937916993,-31.69965062083007
CHN,_T,OECD,USD,A,2015,1093987.383,731367.317,-362620.0659999999,0.6685335940478576,-33.146640595214244
CHN,_T,OECD,USD,A,2016,1010684.152,676028.018,-334656.13399999996,0.6688815854708288,-33.111841452917126
CHN,_T,OECD,USD,A,2017,1094248.385,728099.639,-366148.74600000004,0.6653879036796567,-33.461209632034326
CHN,_T,OECD,USD,A,2018,1199069.827,788628.617,-410441.2100000001,0.6577003267383527,-34.22996732616474
CHN,_T,OECD,USD,A,2019,1188327.497,764645.654,-423681.843,0.6434637386834784,-35.65362613165215
CHN,_T,OECD,USD,A,2020,1246516.329,782044.414,-464471.9149999999,0.627384010787395,-37.2615989212605
CHN,_T,OECD,USD,A,2021,1593281.384,995385.83,-597895.5540000001,0.6247395092893396,-37.52604907106604
CHN,_T,OECD,USD,A,2022,1711083.698,1066750.132,-644333.5660000001,0.6234353896579523,-37.656461034204774
IDN,_T,OECD,USD,A,2000,36410.315,18340.637,-18069.678000000004,0.5037209098575499,-49.627909014245006
IDN,_T,OECD,USD,A,2001,35182.81,17625.849,-17556.961,0.5009790008245504,-49.90209991754496
IDN,_T,OECD,USD,A,2002,36167.605,17270.985,-18896.620000000003,0.4775263664818281,-52.247363351817185
IDN,_T,OECD,USD,A,2003,41805.483,19098.592,-22706.891,0.4568441895528393,-54.315581044716076
IDN,_T,OECD,USD,A,2004,45698.674,19772.313,-25926.361,0.432667105395662,-56.7332894604338
IDN,_T,OECD,USD,A,2005,52085.699,21715.359,-30370.34,0.41691595614373916,-58.30840438562608
IDN,_T,OECD,USD,A,2006,62164.103,23771.959,-38392.144,0.3824065313063392,-61.75934686936607
IDN,_T,OECD,USD,A,2007,67067.345,26711.593,-40355.752,0.39828016153017537,-60.171983846982464
IDN,_T,OECD,USD,A,2008,78940.754,29970.347,-48970.407,0.3796562039425162,-62.034379605748384
IDN,_T,OECD,USD,A,2009,65994.674,25080.442,-40914.232,0.38003736483341066,-61.99626351665894
IDN,_T,OECD,USD,A,2010,86472.956,31464.384,-55008.57200000001,0.3638638651372112,-63.61361348627889
IDN,_T,OECD,USD,A,2011,106236.859,37871.634,-68365.225,0.3564829980524932,-64.35170019475069
