iso3,year,acled_event_count,acled_fatalities_sum,treatment_event
EGY,2018,497,0.0,497.0
EGY,2019,705,0.0,705.0
EGY,2020,644,0.0,644.0
EGY,2021,313,0.0,313.0
EGY,2022,248,0.0,248.0
EGY,2023,207,0.0,207.0
EGY,2024,129,0.0,129.0
EGY,2025,25,0.0,25.0
IRQ,2018,3678,0.0,3678.0
IRQ,2019,3712,0.0,3712.0
IRQ,2020,6307,0.0,6307.0
IRQ,2021,7613,0.0,7613.0
IRQ,2022,7747,0.0,7747.0
IRQ,2023,6531,0.0,6531.0
IRQ,2024,9622,0.0,9622.0
IRQ,2025,924,0.0,924.0
JOR,2018,795,0.0,795.0
JOR,2019,841,0.0,841.0
JOR,2020,381,0.0,381.0
JOR,2021,404,0.0,404.0
JOR,2022,461,0.0,461.0
JOR,2023,455,0.0,455.0
JOR,2024,332,0.0,332.0
JOR,2025,29,0.0,29.0
LBN,2018,577,0.0,577.0
LBN,2019,3598,0.0,3598.0
LBN,2020,2992,0.0,2992.0
LBN,2021,3214,0.0,3214.0
LBN,2022,1303,0.0,1303.0
LBN,2023,3191,0.0,3191.0
LBN,2024,14593,0.0,14593.0
LBN,2025,850,0.0,850.0
LBY,2018,797,0.0,797.0
LBY,2019,1472,0.0,1472.0
LBY,2020,1414,0.0,1414.0
LBY,2021,264,0.0,264.0
LBY,2022,260,0.0,260.0
LBY,2023,201,0.0,201.0
LBY,2024,567,0.0,567.0
LBY,2025,115,0.0,115.0
MAR,2018,238,0.0,238.0
MAR,2019,877,0.0,877.0
MAR,2020,1385,0.0,1385.0
MAR,2021,1641,0.0,1641.0
MAR,2022,1455,0.0,1455.0
MAR,2023,2214,0.0,2214.0
MAR,2024,3725,0.0,3725.0
MAR,2025,402,0.0,402.0
SAU,2018,862,0.0,862.0
SAU,2019,298,0.0,298.0
SAU,2020,121,0.0,121.0
SAU,2021,241,0.0,241.0
SAU,2022,63,0.0,63.0
SAU,2023,24,0.0,24.0
SAU,2024,5,0.0,5.0
SAU,2025,1,0.0,1.0
SYR,2018,20866,0.0,20866.0
SYR,2019,20062,0.0,20062.0
SYR,2020,12454,0.0,12454.0
SYR,2021,10830,0.0,10830.0
SYR,2022,12421,0.0,12421.0
SYR,2023,12827,0.0,12827.0
SYR,2024,15882,0.0,15882.0
SYR,2025,2231,0.0,2231.0
TUN,2018,714,0.0,714.0
TUN,2019,1461,0.0,1461.0
TUN,2020,1774,0.0,1774.0
TUN,2021,1352,0.0,1352.0
TUN,2022,860,0.0,860.0
TUN,2023,774,0.0,774.0
TUN,2024,585,0.0,585.0
TUN,2025,73,0.0,73.0
YEM,2018,11481,0.0,11481.0
YEM,2019,11851,0.0,11851.0
YEM,2020,11911,0.0,11911.0
YEM,2021,8849,0.0,8849.0
YEM,2022,8098,0.0,8098.0
YEM,2023,7672,0.0,7672.0
YEM,2024,12833,0.0,12833.0
YEM,2025,2011,0.0,2011.0
