iso3,year,outcome_main,treatment_event,acled_event_count,acled_fatalities_sum,refugees_under_mandate,asylum_seekers,idps,total_displaced,acled_period_flag,source_note
EGY,2000,4.09609057659976,0.0,0.0,0.0,3954.0,1151.0,0.0,5105.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2001,1.35955211640928,0.0,0.0,0.0,4677.0,1442.0,0.0,6119.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2002,0.258696268364815,0.0,0.0,0.0,6442.0,1825.0,0.0,8267.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2003,1.05358246778609,0.0,0.0,0.0,5734.0,2019.0,0.0,7753.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2004,1.96524683873078,0.0,0.0,0.0,5361.0,2242.0,0.0,7603.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2005,2.38032461797421,0.0,0.0,0.0,6288.0,2327.0,0.0,8615.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2006,4.77751297935043,0.0,0.0,0.0,7608.0,1675.0,0.0,9283.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2007,5.0854672784842,0.0,0.0,0.0,6789.0,1614.0,0.0,8403.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2008,5.17381069878276,0.0,0.0,0.0,6777.0,1803.0,0.0,8580.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2009,2.7155259206418,0.0,0.0,0.0,6983.0,1626.0,0.0,8609.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2010,3.14977851168294,0.0,0.0,0.0,6903.0,1571.0,0.0,8474.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2011,-0.354646267702748,0.0,0.0,0.0,7922.0,2613.0,0.0,10535.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2012,-0.0429670178954922,0.0,0.0,0.0,10014.0,4118.0,0.0,14132.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2013,-0.14323388107762,0.0,0.0,0.0,12804.0,9478.0,0.0,22282.0,False,UNHCR population API (origin-based annual aggregates)
EGY,2014,0.599558564006458,0.0,0.0,0.0,15899.0,10816.0,0.0,26715.0,False,UNHCR population API (origin-based annual aggregates)
