reporter_iso,partner_iso,year,trade_value_usd,reporter_code,partner_code,flow_code,cmd_code,is_reported
MEX,DMA,2024,96354.0,484,212,X,TOTAL,False
MEX,DMA,2024,1872.0,484,212,X,TOTAL,False
MEX,DMA,2024,94482.0,484,212,X,TOTAL,False
MEX,DOM,2024,865244877.0,484,214,X,TOTAL,False
MEX,DOM,2024,58721115.0,484,214,X,TOTAL,False
MEX,DOM,2024,790515211.0,484,214,X,TOTAL,False
MEX,DOM,2024,47962.0,484,214,X,TOTAL,False
MEX,ECU,2024,468558865.0,484,218,X,TOTAL,False
MEX,ECU,2024,61376644.0,484,218,X,TOTAL,False
MEX,ECU,2024,401796775.0,484,218,X,TOTAL,False
MEX,ECU,2024,26128.0,484,218,X,TOTAL,False
MEX,ECU,2024,8719.0,484,218,X,TOTAL,False
MEX,GRD,2024,529242.0,484,308,X,TOTAL,False
MEX,GRD,2024,39180.0,484,308,X,TOTAL,False
MEX,GRD,2024,490062.0,484,308,X,TOTAL,False
MEX,GTM,2024,2880631863.0,484,320,X,TOTAL,False
MEX,GTM,2024,53344248.0,484,320,X,TOTAL,False
MEX,GTM,2024,391752668.0,484,320,X,TOTAL,False
MEX,GTM,2024,45210.0,484,320,X,TOTAL,False
MEX,GTM,2024,130123155.0,484,320,X,TOTAL,False
MEX,GUY,2024,202821933.0,484,328,X,TOTAL,False
MEX,GUY,2024,11824051.0,484,328,X,TOTAL,False
MEX,GUY,2024,189325780.0,484,328,X,TOTAL,False
MEX,HND,2024,1148533036.0,484,340,X,TOTAL,False
MEX,HND,2024,27197096.0,484,340,X,TOTAL,False
MEX,HND,2024,329653265.0,484,340,X,TOTAL,False
MEX,HTI,2024,8417048.0,484,332,X,TOTAL,False
MEX,HTI,2024,860320.0,484,332,X,TOTAL,False
MEX,HTI,2024,7556728.0,484,332,X,TOTAL,False
NIC,DMA,2024,174171.3,558,212,X,TOTAL,False
NIC,DOM,2024,29216131.9,558,214,X,TOTAL,False
NIC,ECU,2024,27826679.6,558,218,X,TOTAL,False
NIC,GRD,2024,32380.5,558,308,X,TOTAL,False
