frequency,unit,nuts2_code,year,gdp_value,status
A,MIO_EUR,AL01,2008,2140.56,
A,MIO_EUR,AL01,2009,2121.81,
A,MIO_EUR,AL01,2010,2254.89,
A,MIO_EUR,AL01,2011,2228.84,
A,MIO_EUR,AL01,2012,2283.79,
A,MIO_EUR,AL01,2013,2280.37,
A,MIO_EUR,AL01,2014,2302.26,
A,MIO_EUR,AL01,2015,2436.44,
A,MIO_EUR,AL01,2016,2576.58,
A,MIO_EUR,AL01,2017,2756.61,
A,MIO_EUR,AL01,2018,2939.04,
A,MIO_EUR,AL01,2019,3121.44,
A,MIO_EUR,AL01,2020,2907.94,
A,MIO_EUR,AL01,2021,3389.55,
A,MIO_EUR,AL01,2022,4088.34,
A,MIO_EUR,AL01,2023,4887.89,
A,MIO_EUR,AL02,2008,4330.2,
A,MIO_EUR,AL02,2009,4254.24,
A,MIO_EUR,AL02,2010,4267.44,
A,MIO_EUR,AL02,2011,4222.21,
A,MIO_EUR,AL02,2012,4269.03,
A,MIO_EUR,AL02,2013,4326.1,
A,MIO_EUR,AL02,2014,4558.46,
A,MIO_EUR,AL02,2015,4872.49,
A,MIO_EUR,AL02,2016,5105.02,
A,MIO_EUR,AL02,2017,5743.39,
A,MIO_EUR,AL02,2018,6397.56,
A,MIO_EUR,AL02,2019,6880.32,
A,MIO_EUR,AL02,2020,6821.56,
A,MIO_EUR,AL02,2021,7676.94,
A,MIO_EUR,AL02,2022,9082.9,
A,MIO_EUR,AL02,2023,10920.77,
A,MIO_EUR,AL03,2008,2587.19,
A,MIO_EUR,AL03,2009,2495.73,
A,MIO_EUR,AL03,2010,2594.7,
A,MIO_EUR,AL03,2011,2876.95,
A,MIO_EUR,AL03,2012,2975.93,
A,MIO_EUR,AL03,2013,3034.53,
A,MIO_EUR,AL03,2014,3159.26,
A,MIO_EUR,AL03,2015,3030.28,
A,MIO_EUR,AL03,2016,3153.46,
A,MIO_EUR,AL03,2017,3270.82,
A,MIO_EUR,AL03,2018,3680.25,
A,MIO_EUR,AL03,2019,3916.11,
A,MIO_EUR,AL03,2020,3650.03,
A,MIO_EUR,AL03,2021,4176.62,
A,MIO_EUR,AL03,2022,4896.86,
A,MIO_EUR,AL03,2023,5921.82,
A,MIO_EUR,AT11,2000,4899.22,
A,MIO_EUR,AT11,2001,5031.63,
A,MIO_EUR,AT11,2002,5205.86,
A,MIO_EUR,AT11,2003,5260.05,
A,MIO_EUR,AT11,2004,5532.69,
A,MIO_EUR,AT11,2005,5577.37,
A,MIO_EUR,AT11,2006,5832.66,
A,MIO_EUR,AT11,2007,6226.38,
A,MIO_EUR,AT11,2008,6239.97,
A,MIO_EUR,AT11,2009,6343.05,
A,MIO_EUR,AT11,2010,6658.47,
A,MIO_EUR,AT11,2011,6981.42,
A,MIO_EUR,AT11,2012,7258.26,
A,MIO_EUR,AT11,2013,7404.83,
A,MIO_EUR,AT11,2014,7647.68,
A,MIO_EUR,AT11,2015,8061.08,
A,MIO_EUR,AT11,2016,8320.75,
A,MIO_EUR,AT11,2017,8610.36,
A,MIO_EUR,AT11,2018,8832.27,
A,MIO_EUR,AT11,2019,9066.41,
A,MIO_EUR,AT11,2020,8773.9,
A,MIO_EUR,AT11,2021,9421.37,
A,MIO_EUR,AT11,2022,10347.35,
A,MIO_EUR,AT11,2023,11301.03,
A,MIO_EUR,AT11,2024,11762.16,
A,MIO_EUR,AT12,2000,33639.67,
A,MIO_EUR,AT12,2001,33936.33,
A,MIO_EUR,AT12,2002,34465.0,
A,MIO_EUR,AT12,2003,35260.37,
A,MIO_EUR,AT12,2004,37800.34,
A,MIO_EUR,AT12,2005,39284.73,
A,MIO_EUR,AT12,2006,41374.73,
A,MIO_EUR,AT12,2007,44227.36,
A,MIO_EUR,AT12,2008,45957.0,
A,MIO_EUR,AT12,2009,45066.42,
A,MIO_EUR,AT12,2010,46074.28,
A,MIO_EUR,AT12,2011,48404.67,
A,MIO_EUR,AT12,2012,49813.28,
A,MIO_EUR,AT12,2013,50433.47,
A,MIO_EUR,AT12,2014,52041.13,
A,MIO_EUR,AT12,2015,53778.42,
A,MIO_EUR,AT12,2016,56034.19,
A,MIO_EUR,AT12,2017,58226.59,
A,MIO_EUR,AT12,2018,60404.56,
A,MIO_EUR,AT12,2019,63210.19,
A,MIO_EUR,AT12,2020,59310.96,
A,MIO_EUR,AT12,2021,63439.6,
A,MIO_EUR,AT12,2022,69712.39,
A,MIO_EUR,AT12,2023,74445.97,
A,MIO_EUR,AT12,2024,76877.89,
A,MIO_EUR,AT13,2000,56460.46,
A,MIO_EUR,AT13,2001,58318.73,
A,MIO_EUR,AT13,2002,60607.58,
A,MIO_EUR,AT13,2003,61305.3,
A,MIO_EUR,AT13,2004,62924.23,
A,MIO_EUR,AT13,2005,66068.49,
A,MIO_EUR,AT13,2006,69354.88,
A,MIO_EUR,AT13,2007,72705.38,
A,MIO_EUR,AT13,2008,75605.8,
A,MIO_EUR,AT13,2009,75026.82,
A,MIO_EUR,AT13,2010,76942.2,
A,MIO_EUR,AT13,2011,79361.41,
A,MIO_EUR,AT13,2012,80734.11,
A,MIO_EUR,AT13,2013,81911.33,
A,MIO_EUR,AT13,2014,83467.6,
A,MIO_EUR,AT13,2015,86162.34,
A,MIO_EUR,AT13,2016,90444.1,
A,MIO_EUR,AT13,2017,91606.81,
A,MIO_EUR,AT13,2018,95891.94,
A,MIO_EUR,AT13,2019,98542.48,
A,MIO_EUR,AT13,2020,95759.07,
A,MIO_EUR,AT13,2021,103536.44,
A,MIO_EUR,AT13,2022,110821.73,
A,MIO_EUR,AT13,2023,119962.6,
A,MIO_EUR,AT13,2024,124867.81,
