MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE
EXGR_FNL,CHN,_T,OECD,USD,A,2000,102185.052
EXGR_FNL,CHN,_T,OECD,USD,A,2001,114459.242
EXGR_FNL,CHN,_T,OECD,USD,A,2002,138025.993
EXGR_FNL,CHN,_T,OECD,USD,A,2003,177528.817
EXGR_FNL,CHN,_T,OECD,USD,A,2004,233664.307
EXGR_FNL,CHN,_T,OECD,USD,A,2005,293455.271
EXGR_FNL,CHN,_T,OECD,USD,A,2006,341050.256
EXGR_FNL,CHN,_T,OECD,USD,A,2007,412065.122
EXGR_FNL,CHN,_T,OECD,USD,A,2008,468023.766
EXGR_FNL,CHN,_T,OECD,USD,A,2009,394452.524
EXGR_FNL,CHN,_T,OECD,USD,A,2010,492774.265
EXGR_FNL,CHN,_T,OECD,USD,A,2011,590985.899
EXGR_FNL,CHN,_T,OECD,USD,A,2012,621775.193
EXGR_FNL,CHN,_T,OECD,USD,A,2013,674341.283
EXGR_FNL,CHN,_T,OECD,USD,A,2014,737037.941
EXGR_FNL,CHN,_T,OECD,USD,A,2015,731367.317
EXGR_FNL,CHN,_T,OECD,USD,A,2016,676028.018
EXGR_FNL,CHN,_T,OECD,USD,A,2017,728099.639
EXGR_FNL,CHN,_T,OECD,USD,A,2018,788628.617
EXGR_FNL,CHN,_T,OECD,USD,A,2019,764645.654
EXGR_FNL,CHN,_T,OECD,USD,A,2020,782044.414
EXGR_FNL,CHN,_T,OECD,USD,A,2021,995385.83
EXGR_FNL,CHN,_T,OECD,USD,A,2022,1066750.132
EXGR_FNL,IDN,_T,OECD,USD,A,2000,18340.637
EXGR_FNL,IDN,_T,OECD,USD,A,2001,17625.849
EXGR_FNL,IDN,_T,OECD,USD,A,2002,17270.985
EXGR_FNL,IDN,_T,OECD,USD,A,2003,19098.592
EXGR_FNL,IDN,_T,OECD,USD,A,2004,19772.313
EXGR_FNL,IDN,_T,OECD,USD,A,2005,21715.359
EXGR_FNL,IDN,_T,OECD,USD,A,2006,23771.959
EXGR_FNL,IDN,_T,OECD,USD,A,2007,26711.593
EXGR_FNL,IDN,_T,OECD,USD,A,2008,29970.347
EXGR_FNL,IDN,_T,OECD,USD,A,2009,25080.442
EXGR_FNL,IDN,_T,OECD,USD,A,2010,31464.384
EXGR_FNL,IDN,_T,OECD,USD,A,2011,37871.634
EXGR_FNL,IDN,_T,OECD,USD,A,2012,35532.489
EXGR_FNL,IDN,_T,OECD,USD,A,2013,36061.905
EXGR_FNL,IDN,_T,OECD,USD,A,2014,36687.491
EXGR_FNL,IDN,_T,OECD,USD,A,2015,33614.599
EXGR_FNL,IDN,_T,OECD,USD,A,2016,34636.198
EXGR_FNL,IDN,_T,OECD,USD,A,2017,38333.451
EXGR_FNL,IDN,_T,OECD,USD,A,2018,37207.022
EXGR_FNL,IDN,_T,OECD,USD,A,2019,36026.038
EXGR_FNL,IDN,_T,OECD,USD,A,2020,31794.648
EXGR_FNL,IDN,_T,OECD,USD,A,2021,38637.383
EXGR_FNL,IDN,_T,OECD,USD,A,2022,48491.655
EXGR_FNL,IND,_T,OECD,USD,A,2000,17058.887
EXGR_FNL,IND,_T,OECD,USD,A,2001,16897.92
EXGR_FNL,IND,_T,OECD,USD,A,2002,18537.47
EXGR_FNL,IND,_T,OECD,USD,A,2003,22027.097
EXGR_FNL,IND,_T,OECD,USD,A,2004,29639.041
EXGR_FNL,IND,_T,OECD,USD,A,2005,39228.557
EXGR_FNL,IND,_T,OECD,USD,A,2006,47864.811
EXGR_FNL,IND,_T,OECD,USD,A,2007,60098.85
EXGR_FNL,IND,_T,OECD,USD,A,2008,66799.82
EXGR_FNL,IND,_T,OECD,USD,A,2009,60540.139
EXGR_FNL,IND,_T,OECD,USD,A,2010,82857.857
EXGR_FNL,IND,_T,OECD,USD,A,2011,100431.707
EXGR_FNL,IND,_T,OECD,USD,A,2012,101616.991
EXGR_FNL,IND,_T,OECD,USD,A,2013,106782.347
EXGR_FNL,IND,_T,OECD,USD,A,2014,106698.799
EXGR_FNL,IND,_T,OECD,USD,A,2015,107795.853
EXGR_FNL,IND,_T,OECD,USD,A,2016,110884.043
EXGR_FNL,IND,_T,OECD,USD,A,2017,122363.261
EXGR_FNL,IND,_T,OECD,USD,A,2018,126894.178
EXGR_FNL,IND,_T,OECD,USD,A,2019,129237.606
EXGR_FNL,IND,_T,OECD,USD,A,2020,111804.882
EXGR_FNL,IND,_T,OECD,USD,A,2021,140007.908
EXGR_FNL,IND,_T,OECD,USD,A,2022,163194.852
EXGR_FNL,JPN,_T,OECD,USD,A,2000,191328.503
EXGR_FNL,JPN,_T,OECD,USD,A,2001,159202.697
EXGR_FNL,JPN,_T,OECD,USD,A,2002,154699.607
EXGR_FNL,JPN,_T,OECD,USD,A,2003,156498.562
EXGR_FNL,JPN,_T,OECD,USD,A,2004,178852.862
EXGR_FNL,JPN,_T,OECD,USD,A,2005,190033.775
EXGR_FNL,JPN,_T,OECD,USD,A,2006,197400.442
EXGR_FNL,JPN,_T,OECD,USD,A,2007,212330.818
EXGR_FNL,JPN,_T,OECD,USD,A,2008,210942.344
EXGR_FNL,JPN,_T,OECD,USD,A,2009,139307.101
EXGR_FNL,JPN,_T,OECD,USD,A,2010,181170.469
EXGR_FNL,JPN,_T,OECD,USD,A,2011,186718.152
EXGR_FNL,JPN,_T,OECD,USD,A,2012,191590.19
EXGR_FNL,JPN,_T,OECD,USD,A,2013,176990.42
EXGR_FNL,JPN,_T,OECD,USD,A,2014,182061.55
EXGR_FNL,JPN,_T,OECD,USD,A,2015,177040.96
EXGR_FNL,JPN,_T,OECD,USD,A,2016,186378.16
EXGR_FNL,JPN,_T,OECD,USD,A,2017,199531.39
EXGR_FNL,JPN,_T,OECD,USD,A,2018,209405.074
EXGR_FNL,JPN,_T,OECD,USD,A,2019,197996.131
EXGR_FNL,JPN,_T,OECD,USD,A,2020,160306.524
EXGR_FNL,JPN,_T,OECD,USD,A,2021,182392.493
