iso3,country_name,unhcr_code,year,refugees,asylum_seekers,idps,total_displaced,source_short_url
EGY,Egypt,ARE,2000,3954.0,1151.0,0.0,5105.0,
EGY,Egypt,ARE,2001,4677.0,1442.0,0.0,6119.0,
EGY,Egypt,ARE,2002,6442.0,1825.0,0.0,8267.0,
EGY,Egypt,ARE,2003,5734.0,2019.0,0.0,7753.0,
EGY,Egypt,ARE,2004,5361.0,2242.0,0.0,7603.0,
EGY,Egypt,ARE,2005,6288.0,2327.0,0.0,8615.0,
EGY,Egypt,ARE,2006,7608.0,1675.0,0.0,9283.0,
EGY,Egypt,ARE,2007,6789.0,1614.0,0.0,8403.0,
EGY,Egypt,ARE,2008,6777.0,1803.0,0.0,8580.0,
EGY,Egypt,ARE,2009,6983.0,1626.0,0.0,8609.0,
EGY,Egypt,ARE,2010,6903.0,1571.0,0.0,8474.0,
EGY,Egypt,ARE,2011,7922.0,2613.0,0.0,10535.0,
EGY,Egypt,ARE,2012,10014.0,4118.0,0.0,14132.0,
EGY,Egypt,ARE,2013,12804.0,9478.0,0.0,22282.0,
EGY,Egypt,ARE,2014,15899.0,10816.0,0.0,26715.0,
EGY,Egypt,ARE,2015,17929.0,12142.0,0.0,30071.0,
EGY,Egypt,ARE,2016,19792.0,13026.0,0.0,32818.0,
EGY,Egypt,ARE,2017,22106.0,14588.0,0.0,36694.0,
EGY,Egypt,ARE,2018,24850.0,16760.0,0.0,41610.0,
EGY,Egypt,ARE,2019,27416.0,16627.0,0.0,44043.0,
EGY,Egypt,ARE,2020,26553.0,16313.0,0.0,42866.0,
EGY,Egypt,ARE,2021,27498.0,21016.0,0.0,48514.0,
EGY,Egypt,ARE,2022,24390.0,27834.0,0.0,52224.0,
EGY,Egypt,ARE,2023,23160.0,46356.0,0.0,69516.0,
EGY,Egypt,ARE,2024,23736.0,55917.0,0.0,79653.0,
IRQ,Iraq,IRQ,2000,526165.0,40630.0,0.0,566795.0,
IRQ,Iraq,IRQ,2001,530508.0,34826.0,0.0,565334.0,
IRQ,Iraq,IRQ,2002,422504.0,29641.0,0.0,452145.0,
IRQ,Iraq,IRQ,2003,368577.0,31591.0,0.0,400168.0,
IRQ,Iraq,IRQ,2004,311889.0,30619.0,0.0,342508.0,
IRQ,Iraq,IRQ,2005,262302.0,34438.0,1200000.0,1496740.0,
IRQ,Iraq,IRQ,2006,1450908.0,47294.0,1834368.0,3332570.0,
IRQ,Iraq,IRQ,2007,2309246.0,27667.0,2385865.0,4722778.0,
IRQ,Iraq,IRQ,2008,1903516.0,25654.0,2647251.0,4576421.0,
