country_iso3,country_name,indicator_code,indicator_name,year,value,fetched_at_utc
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2000,4.10096377494424,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2001,4.27707297760187,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2002,4.4258336418259,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2003,4.77750508341168,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2004,5.62202020887743,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2005,6.18729480964419,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2006,6.56566033561861,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2007,6.66602266899619,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2008,6.67084036318234,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2009,4.20598999407169,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2010,2.86046777972098,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2011,4.20609398852294,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2012,1.99163765537339,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2013,3.26264374289606,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2014,3.43935218464331,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2015,3.58527966742609,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2016,3.68902192985166,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2017,3.73375514818499,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2018,3.22501490354643,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2019,2.92730273134612,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2020,2.59796898824507,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2021,2.27863856453809,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2022,2.63057225622421,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2000,7.62292064930222,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2001,4.1820016304779,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2002,-0.944953481157384,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2003,1.11050459944282,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2004,7.29372807096192,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2005,-0.383137672063768,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2006,1.12741146411624,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2007,3.0895443848509,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2008,1.83575517191368,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2009,-11.6777413693852,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2010,-2.73345679250639,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2011,3.36923718421511,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2012,-1.04079988436683,2026-02-20T21:42:29.692438+00:00
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2013,6.43146080719245,2026-02-20T21:42:29.692438+00:00
