reporter_iso,partner_iso,year,trade_value_usd,reporter_code,partner_code,flow_code,cmd_code,is_reported
CAN,MEX,2024,6119243729.193,124,484,X,TOTAL,False
CAN,MEX,2024,433790970.393,124,484,X,TOTAL,False
CAN,MEX,2024,775605008.423,124,484,X,TOTAL,False
CAN,MEX,2024,1541717832.961,124,484,X,TOTAL,False
CAN,MEX,2024,3365485740.873,124,484,X,TOTAL,False
CAN,MEX,2024,2644176.542,124,484,X,TOTAL,False
CAN,MEX,2024,6119243729.193,124,484,X,TOTAL,False
CAN,MEX,2024,433790970.393,124,484,X,TOTAL,False
CAN,MEX,2024,775605008.423,124,484,X,TOTAL,False
CAN,MEX,2024,1541717832.961,124,484,X,TOTAL,False
CAN,MEX,2024,3365485740.873,124,484,X,TOTAL,False
CAN,MEX,2024,2644176.542,124,484,X,TOTAL,False
MEX,CAN,2024,18614316486.0,484,124,X,TOTAL,False
MEX,CAN,2024,926314983.0,484,124,X,TOTAL,False
MEX,CAN,2024,1268319032.0,484,124,X,TOTAL,False
MEX,CAN,2024,7428869854.0,484,124,X,TOTAL,False
MEX,CAN,2024,1125111.0,484,124,X,TOTAL,False
