region,year,gdp_growth,log_gdp_pc,manufacturing_share,border_delay_index
R01,2023,1.8,9.190137664658664,21.0,
R01,2024,2.1,9.215327913487222,20.5,0.31
R02,2023,2.4,9.093806555720231,18.2,
R02,2024,2.6,9.121509158269568,18.9,0.28
R03,2023,1.2,8.935903526274423,15.6,
R03,2024,1.5,8.961879012677683,15.9,0.42
R04,2023,2.0,9.230142999272362,22.5,
R04,2024,2.3,9.249561085129464,22.1,0.25
R05,2023,1.6,9.035986984831405,16.8,
R05,2024,1.9,9.0595174822416,17.2,0.37
R06,2023,2.3,9.137769679141348,19.1,
R06,2024,2.8,9.174713194333032,19.7,0.33
