reporter_iso,partner_iso,year,trade_value_usd
R01,R02,2024,120
R01,R03,2024,90
R01,R04,2024,110
R01,R05,2024,95
R01,R06,2024,80
R02,R01,2024,115
R02,R03,2024,105
R02,R04,2024,130
R02,R05,2024,98
R02,R06,2024,87
R03,R01,2024,88
R03,R02,2024,101
R03,R04,2024,77
R03,R05,2024,70
R03,R06,2024,69
R04,R01,2024,125
R04,R02,2024,140
R04,R03,2024,85
R04,R05,2024,99
R04,R06,2024,92
R05,R01,2024,93
R05,R02,2024,97
R05,R03,2024,72
R05,R04,2024,102
R05,R06,2024,81
R06,R01,2024,86
R06,R02,2024,89
R06,R03,2024,75
R06,R04,2024,95
R06,R05,2024,84
