,ARG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,TCA,TTO,URY,VCT
ARG,0.0,0.00011747581617698258,8.00329155792211e-05,0.013084676883878148,0.4508773558437791,5.636107157974606e-05,0.21000963809592332,0.027709162467979456,0.005743147809765191,0.0025527338772578386,0.0,0.0,0.01301980539499826,0.022801792169235183,7.674191194643347e-06,0.014334822124216181,0.00019994299544880652,0.0037761704302445393,9.603190776849548e-05,0.00026967581492255363,2.4265710045951555e-06,0.0,0.02636249851751857,0.007253358331105171,0.008968483214580554,0.08211360834054256,0.0,0.04772276944650099,0.0036753551969568063,6.365630437144607e-05,0.0,0.00040681757816480907,0.05869452668930691,0.0
BHS,0.01563747415547763,0.0,0.0,0.0,0.01191169565332951,0.001565191197784713,0.0,0.00272907656016257,0.7794209186326988,0.0019532076739650953,0.0,0.0,0.0029284169485596797,0.0,0.0,0.0,0.03200077701734934,0.0,0.010828366777126945,0.06924986653217616,2.7891247759266374e-06,0.00219815845575677,0.0015996450920755716,0.0,0.0004101654082245055,0.0,0.0,0.0,0.0,0.007744907304258403,0.05108823445448493,0.008475986127877762,0.00025512288391564244,0.0
BLZ,0.0,0.009529481268599656,0.0,0.0,0.0006785171245619448,0.05476477906057533,1.0775272444841314e-06,0.0,0.009291105284044525,0.0006455308221414704,0.00023737301438522408,0.016900611866497196,0.004002422276103733,0.0,0.009376647590644353,0.1219280857857936,0.0475645652918533,0.1811609146006566,0.0,0.12018266059679486,0.009255949848212952,0.023573770228257497,0.10037728857734135,0.00010349397292989388,0.002489400364404191,0.0025206280870253813,0.0,0.0,0.0012390139504051365,0.04856878481306744,0.0008054177340197221,0.22678752954465253,0.0,0.00801495076978767
BOL,0.1403631026410455,0.0,1.6018655848794945e-05,0.0,0.4185130082816395,1.8624528691937627e-07,0.037280357298442805,0.14300415445533587,0.0008014224312990584,5.6899978374223006e-05,0.0,0.0,0.0017375615016514325,0.05701903170795717,0.0,0.0010992316140521266,2.3359738422626977e-05,4.042485449949761e-05,0.0,3.0486929240037218e-05,0.0,0.0,0.011883765051719055,0.00022316707298951626,0.0029569999678389584,0.16450124775707167,0.0,0.017016011178607224,0.0003153281073827281,7.424332025963968e-05,0.0,2.2704716487432807e-05,0.0030212864945482324,0.0
BRA,0.28386805264572307,0.003051018351182621,0.00032243365698530417,0.027501687243111816,0.0,0.0007382963954899822,0.13717495103162494,0.06662554430981153,0.012027986489204445,0.005708922583463291,0.0010057334130190295,0.00011487369301046067,0.02185209131147264,0.020014084965903477,0.00031054942980345544,0.01237565947011416,0.007898491951172239,0.004231648913712001,0.0016345757646510216,0.004562434914376048,0.00014461401129629145,0.001212914286900906,0.16073809735011613,0.002697149781387756,0.018940058781677264,0.05955189823637835,0.0,0.07732409445709004,0.004073903942690616,0.0011246674287605596,4.026826824920001e-05,0.007242692441221191,0.05578467799347361,0.00010592648692659685
BRB,3.635036457963755e-05,0.02548831337165948,0.015899144532455875,8.06415822085582e-06,0.0028555443200910763,0.0,7.13628680477111e-06,0.0006530704280884594,0.002081708806964296,3.784235715566745e-05,0.015850506807529016,0.03576122788300955,0.015441916625747076,9.771934847137979e-07,0.06699205421782649,0.00012311713118607056,0.12240655430858988,0.0007664680291253104,0.0021981212194460997,0.2108959157402988,0.047618863542041485,0.13304634177954955,0.0012422379510093572,0.0036909584359012724,0.009872422396711164,0.0,0.0,0.0007226977758462845,0.0005477030763502818,0.01617071184232763,0.003291449680005663,0.1839126134769402,0.00028051926532793564,0.08209944699572606
CHL,0.06293250062876972,5.962537964086273e-05,0.0002029517212892823,0.08039519609771152,0.37783542756982075,0.0001356595348453279,0.0,0.06078501075479189,0.026484718100837308,0.0010534952246781233,2.0767714916205025e-05,1.601378983999611e-05,0.011511796984084733,0.03778337071781997,4.6091876980226404e-05,0.013703021584511189,0.00022542268763122876,0.00391906302035391,0.00011784825696402196,0.001881409160093766,1.880484204054827e-05,0.00013170792666687212,0.12992040261450138,0.0018222836786873139,0.013826857034724195,0.11159193184030197,0.0,0.04318254706709094,0.005386583219305045,0.0002835077291265762,1.8425217569752457e-05,0.0017459860771384774,0.012925523403422968,3.6048543843953796e-05
COL,0.019234626506536758,0.0282342760238918,0.0002304081695699158,0.006857677850118972,0.1235472062246258,0.0007668903049501658,0.06617181479233364,0.0,0.022612309417149017,0.0037582822577670047,0.001970085647320294,6.334478789235295e-05,0.04126607720070088,0.12314806118154167,9.326167902782002e-05,0.032614286433560694,0.0017253612871039315,0.008889584055935824,0.002929036448722433,0.013701298082389575,5.51457347899558e-05,0.00016169718470998714,0.12542847855161637,0.0038000507473523832,0.2759144176514777,0.0749641789205481,0.0,0.002825130883442473,0.01219348137601858,0.0006638301605812495,0.0003032226679839799,0.003566128476536452,0.002146533455670911,0.0001638158381333258
CRI,0.0041001698476183825,0.003592629129349294,0.004469377335740748,0.00013967813611700985,0.007570441592912997,0.0032140068049415983,0.008831814147095439,0.019095304809524614,0.0,0.008221292004184129,0.0014532531336861139,4.6607334212819396e-05,0.06581039967652494,0.017424284033905866,0.0006529199154783825,0.21255171400651682,0.004536182576579039,0.12359264992353416,0.0028918451031565698,0.015781635681392764,0.00011253413973488725,0.0006035793221900065,0.06872658882101165,0.1525369470519641,0.12693695006763878,0.02620684040603376,0.0,0.0006227528641751217,0.10335691543352811,0.001989023745326574,7.381336985121414e-06,0.013622996613556126,0.0011216810212275334,0.00017960398415648316
CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,0.0016404257253565464,0.008319700585055712,0.000750411939505387,0.0009696011046628131,0.02237990443248742,0.011456990191585649,0.010559498851614075,0.038392770534711046,0.024998304210478682,0.045614614349858376,0.009587808433412953,0.0020628267447083547,0.0,0.013187456976931453,0.004107202975144038,0.01845424944282365,0.03638760676756319,0.01889355963779626,0.5033717657403916,0.06573857998318053,0.0028294841484629075,0.0052557160433337365,0.035412544132366386,0.02032470780610177,0.02647294594133807,0.007564690919870972,0.0,0.0005802777482278467,0.008415792755166913,0.006365150435837111,0.016908333055794682,0.029493403463207602,0.0008204360733035605,0.002683238849720716
ECU,0.025586495685028614,0.002670335026741,0.00013601495726201394,0.0023836157858173955,0.012335381594999733,0.00013177617032688086,0.09091687917398719,0.08217071583016251,0.0045819692648159755,0.0006251779142879449,0.00013089620704435744,7.048998915282359e-06,0.01184300270213075,0.0,3.33179926740418e-06,0.0138007527006943,6.005791035194667e-05,0.007077353872583343,4.687874261554163e-05,0.0007096145213371575,6.7122894947433784e-06,6.259138688387528e-05,0.04038617571665292,0.011694609304151603,0.5787902169579817,0.10441124681663151,0.0,0.0007315662705899204,0.00412218187074897,2.4990848332374552e-05,5.245678373224071e-06,0.0011250774565315967,0.0034069939012739063,1.5092643984336913e-05
