MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE
EXGR_FNL,JPN,DTOTAL,WLD,USD_EXC,A,2019,315000.4
EXGR_FNL,JPN,DTOTAL,WLD,USD_EXC,A,2020,294000.2
EXGR_FNL,JPN,DTOTAL,WLD,USD_EXC,A,2021,322000.5
EXGR_FNL,JPN,DTOTAL,WLD,USD_EXC,A,2022,336000.1
EXGR_FNL,KOR,DTOTAL,WLD,USD_EXC,A,2019,217000.3
EXGR_FNL,KOR,DTOTAL,WLD,USD_EXC,A,2020,203000.6
EXGR_FNL,KOR,DTOTAL,WLD,USD_EXC,A,2021,231000.1
EXGR_FNL,KOR,DTOTAL,WLD,USD_EXC,A,2022,245000.4
EXGR_FNL,CHN,DTOTAL,WLD,USD_EXC,A,2019,840000.6
EXGR_FNL,CHN,DTOTAL,WLD,USD_EXC,A,2020,805000.1
EXGR_FNL,CHN,DTOTAL,WLD,USD_EXC,A,2021,945000.3
EXGR_FNL,CHN,DTOTAL,WLD,USD_EXC,A,2022,980000.6
