MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE
EXGR_DVA,JPN,DTOTAL,WLD,USD_EXC,A,2019,450000.5
EXGR_DVA,JPN,DTOTAL,WLD,USD_EXC,A,2020,420000.3
EXGR_DVA,JPN,DTOTAL,WLD,USD_EXC,A,2021,460000.7
EXGR_DVA,JPN,DTOTAL,WLD,USD_EXC,A,2022,480000.2
EXGR_DVA,KOR,DTOTAL,WLD,USD_EXC,A,2019,310000.4
EXGR_DVA,KOR,DTOTAL,WLD,USD_EXC,A,2020,290000.8
EXGR_DVA,KOR,DTOTAL,WLD,USD_EXC,A,2021,330000.1
EXGR_DVA,KOR,DTOTAL,WLD,USD_EXC,A,2022,350000.6
EXGR_DVA,CHN,DTOTAL,WLD,USD_EXC,A,2019,1200000.9
EXGR_DVA,CHN,DTOTAL,WLD,USD_EXC,A,2020,1150000.2
EXGR_DVA,CHN,DTOTAL,WLD,USD_EXC,A,2021,1350000.4
EXGR_DVA,CHN,DTOTAL,WLD,USD_EXC,A,2022,1400000.8
