MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE
EXGR,JPN,DTOTAL,WLD,USD_EXC,A,2019,560000.0
EXGR,JPN,DTOTAL,WLD,USD_EXC,A,2020,530000.0
EXGR,JPN,DTOTAL,WLD,USD_EXC,A,2021,575000.0
EXGR,JPN,DTOTAL,WLD,USD_EXC,A,2022,600000.0
EXGR,KOR,DTOTAL,WLD,USD_EXC,A,2019,420000.0
EXGR,KOR,DTOTAL,WLD,USD_EXC,A,2020,400000.0
EXGR,KOR,DTOTAL,WLD,USD_EXC,A,2021,455000.0
EXGR,KOR,DTOTAL,WLD,USD_EXC,A,2022,480000.0
EXGR,CHN,DTOTAL,WLD,USD_EXC,A,2019,1850000.0
EXGR,CHN,DTOTAL,WLD,USD_EXC,A,2020,1800000.0
EXGR,CHN,DTOTAL,WLD,USD_EXC,A,2021,2050000.0
EXGR,CHN,DTOTAL,WLD,USD_EXC,A,2022,2150000.0
