nuts2_code,programming_period,gdp_pc_pps,eu_threshold_75pct,eligible
AL01,2014-2020,2438.4266666666667,18595.55,1
AL02,2014-2020,4845.323333333334,18595.55,1
AL03,2014-2020,3114.3333333333335,18595.55,1
AT11,2014-2020,8009.836666666667,18595.55,1
AT12,2014-2020,53951.246666666666,18595.55,0
AT13,2014-2020,86691.34666666666,18595.55,0
AT21,2014-2020,18977.34,18595.55,0
AT22,2014-2020,44055.02,18595.55,0
AT31,2014-2020,59107.52,18595.55,0
AT32,2014-2020,24952.416666666668,18595.55,0
AT33,2014-2020,30244.55,18595.55,0
AT34,2014-2020,16497.29333333333,18595.55,1
ATZZ,2014-2020,135.05999999999997,18595.55,1
BE10,2014-2020,77622.62,18595.55,0
BE21,2014-2020,78944.81999999999,18595.55,0
BE22,2014-2020,25520.173333333336,18595.55,0
BE23,2014-2020,50264.799999999996,18595.55,0
BE24,2014-2020,44832.18,18595.55,0
BE25,2014-2020,42462.41,18595.55,0
BE31,2014-2020,16634.896666666667,18595.55,1
BE32,2014-2020,31186.426666666666,18595.55,0
BE33,2014-2020,29913.22333333333,18595.55,0
BE34,2014-2020,6436.246666666666,18595.55,1
BE35,2014-2020,12339.963333333333,18595.55,1
BEZZ,2014-2020,163.37666666666667,18595.55,1
BG31,2014-2020,3124.263333333334,18595.55,1
BG32,2014-2020,3664.8933333333334,18595.55,1
BG33,2014-2020,4977.036666666667,18595.55,1
BG34,2014-2020,5798.29,18595.55,1
BG41,2014-2020,21901.013333333332,18595.55,0
BG42,2014-2020,6392.016666666666,18595.55,1
CH01,2014-2020,112140.20666666667,18595.55,0
CH02,2014-2020,122328.02333333333,18595.55,0
CH03,2014-2020,86627.87333333334,18595.55,0
CH04,2014-2020,131354.35666666666,18595.55,0
CH05,2014-2020,73454.00666666667,18595.55,0
CH06,2014-2020,56197.90333333334,18595.55,0
CH07,2014-2020,26870.063333333335,18595.55,0
CY00,2014-2020,18146.923333333336,18595.55,1
CZ01,2014-2020,44385.61666666667,18595.55,0
CZ02,2014-2020,19681.98,18595.55,0
CZ03,2014-2020,16765.053333333333,18595.55,1
CZ04,2014-2020,12775.113333333333,18595.55,1
CZ05,2014-2020,19659.743333333332,18595.55,0
CZ06,2014-2020,24598.926666666666,18595.55,0
CZ07,2014-2020,15717.74,18595.55,1
CZ08,2014-2020,15970.716666666667,18595.55,1
DE11,2014-2020,197719.77000000002,18595.55,0
DE12,2014-2020,115213.42666666668,18595.55,0
DE13,2014-2020,80723.06333333334,18595.55,0
DE14,2014-2020,73202.55,18595.55,0
DE21,2014-2020,248262.87666666668,18595.55,0
DE22,2014-2020,44590.52,18595.55,0
DE23,2014-2020,42981.93,18595.55,0
DE24,2014-2020,37352.31,18595.55,0
DE25,2014-2020,72977.45,18595.55,0
DE26,2014-2020,49640.31333333333,18595.55,0
DE27,2014-2020,68383.04,18595.55,0
DE30,2014-2020,129334.87,18595.55,0
DE40,2014-2020,67012.76,18595.55,0
DE50,2014-2020,31160.266666666666,18595.55,0
DE60,2014-2020,112142.44,18595.55,0
DE71,2014-2020,194524.26333333334,18595.55,0
DE72,2014-2020,33401.61666666666,18595.55,0
DE73,2014-2020,41964.29,18595.55,0
DE80,2014-2020,40899.74,18595.55,0
DE91,2014-2020,68823.75666666667,18595.55,0
DE92,2014-2020,76206.57333333332,18595.55,0
DE93,2014-2020,44416.34333333333,18595.55,0
DE94,2014-2020,81781.88,18595.55,0
DEA1,2014-2020,201842.57666666666,18595.55,0
DEA2,2014-2020,174970.28333333333,18595.55,0
DEA3,2014-2020,81161.89333333333,18595.55,0
DEA4,2014-2020,72823.63,18595.55,0
DEA5,2014-2020,118559.31333333334,18595.55,0
DEB1,2014-2020,46401.26,18595.55,0
DEB2,2014-2020,15382.183333333334,18595.55,1
DEB3,2014-2020,73425.65666666666,18595.55,0
DEC0,2014-2020,34539.46,18595.55,0
DED2,2014-2020,45852.27,18595.55,0
DED4,2014-2020,38166.456666666665,18595.55,0
DED5,2014-2020,31189.713333333333,18595.55,0
DEE0,2014-2020,57950.706666666665,18595.55,0
DEF0,2014-2020,85396.16666666667,18595.55,0
DEG0,2014-2020,58525.75,18595.55,0
DK01,2014-2020,110460.97333333334,18595.55,0
DK02,2014-2020,27468.226666666666,18595.55,0
DK03,2014-2020,52350.91333333333,18595.55,0
DK04,2014-2020,55407.28,18595.55,0
DK05,2014-2020,23461.37,18595.55,0
DKZZ,2014-2020,4215.856666666667,18595.55,1
EE00,2014-2020,21188.47333333333,18595.55,0
EL30,2014-2020,83377.53333333334,18595.55,0
EL41,2014-2020,2473.1733333333336,18595.55,1
EL42,2014-2020,6004.693333333334,18595.55,1
EL43,2014-2020,8750.413333333332,18595.55,1
EL51,2014-2020,6669.823333333334,18595.55,1
EL52,2014-2020,23769.773333333334,18595.55,0
EL53,2014-2020,4716.7,18595.55,1
EL54,2014-2020,3718.49,18595.55,1
EL61,2014-2020,8889.88,18595.55,1
EL62,2014-2020,3087.98,18595.55,1
EL63,2014-2020,8041.956666666666,18595.55,1
EL64,2014-2020,7792.916666666667,18595.55,1
EL65,2014-2020,8000.9766666666665,18595.55,1
ES11,2014-2020,56662.0,18595.55,0
ES12,2014-2020,21233.266666666666,18595.55,0
ES13,2014-2020,12478.733333333332,18595.55,1
ES21,2014-2020,64941.73333333334,18595.55,0
ES22,2014-2020,18295.899999999998,18595.55,1
ES23,2014-2020,7948.533333333333,18595.55,1
ES24,2014-2020,33470.166666666664,18595.55,0
ES30,2014-2020,205572.9,18595.55,0
ES41,2014-2020,53065.86666666667,18595.55,0
ES42,2014-2020,37757.0,18595.55,0
ES43,2014-2020,18376.399999999998,18595.55,1
ES51,2014-2020,205978.7666666667,18595.55,0
ES52,2014-2020,100891.90000000001,18595.55,0
ES53,2014-2020,28665.2,18595.55,0
ES61,2014-2020,145147.73333333334,18595.55,0
ES62,2014-2020,28805.63333333333,18595.55,0
ES63,2014-2020,1494.1666666666667,18595.55,1
ES64,2014-2020,1403.6666666666667,18595.55,1
ES70,2014-2020,39643.066666666666,18595.55,0
ESZZ,2014-2020,1176.6333333333332,18595.55,1
FI19,2014-2020,47115.659999999996,18595.55,0
FI1B,2014-2020,81940.11,18595.55,0
FI1C,2014-2020,39282.97666666666,18595.55,0
FI1D,2014-2020,40822.89666666667,18595.55,0
FI20,2014-2020,1364.6033333333332,18595.55,1
FIZZ,2014-2020,61.75333333333333,18595.55,1
FR10,2014-2020,651958.1333333333,18595.55,0
FRB0,2014-2020,71190.90000000001,18595.55,0
FRC1,2014-2020,45476.43333333333,18595.55,0
FRC2,2014-2020,30453.899999999998,18595.55,0
FRD1,2014-2020,40116.9,18595.55,0
FRD2,2014-2020,53676.53333333333,18595.55,0
FRE1,2014-2020,106410.96666666667,18595.55,0
FRE2,2014-2020,47448.36666666667,18595.55,0
FRF1,2014-2020,57859.73333333334,18595.55,0
FRF2,2014-2020,37568.200000000004,18595.55,0
FRF3,2014-2020,57726.26666666666,18595.55,0
FRG0,2014-2020,109420.03333333333,18595.55,0
FRH0,2014-2020,91902.7,18595.55,0
FRI1,2014-2020,99103.06666666667,18595.55,0
FRI2,2014-2020,18524.066666666666,18595.55,1
FRI3,2014-2020,48704.700000000004,18595.55,0
FRJ1,2014-2020,71571.43333333333,18595.55,0
FRJ2,2014-2020,91729.0,18595.55,0
FRK1,2014-2020,35738.26666666667,18595.55,0
FRK2,2014-2020,217392.66666666666,18595.55,0
FRL0,2014-2020,159354.86666666667,18595.55,0
FRM0,2014-2020,9191.7,18595.55,1
FRY1,2014-2020,9430.866666666667,18595.55,1
FRY2,2014-2020,8788.966666666667,18595.55,1
FRY3,2014-2020,4334.366666666666,18595.55,1
FRY4,2014-2020,17728.13333333333,18595.55,1
FRY5,2014-2020,1911.3,18595.55,1
FRZZ,2014-2020,938.8333333333334,18595.55,1
HR02,2014-2020,8528.386666666667,18595.55,1
HR03,2014-2020,14735.656666666668,18595.55,1
HR05,2014-2020,15496.423333333334,18595.55,1
HR06,2014-2020,7020.113333333334,18595.55,1
HU11,2014-2020,40692.42333333333,18595.55,0
HU12,2014-2020,11498.386666666667,18595.55,1
HU21,2014-2020,11300.943333333335,18595.55,1
HU22,2014-2020,12029.473333333333,18595.55,1
HU23,2014-2020,6874.363333333334,18595.55,1
HU31,2014-2020,8554.033333333333,18595.55,1
HU32,2014-2020,10696.38,18595.55,1
HU33,2014-2020,10281.616666666667,18595.55,1
HUZZ,2014-2020,0.0,18595.55,1
IE04,2014-2020,22220.313333333335,18595.55,0
IE05,2014-2020,87069.40000000001,18595.55,0
IE06,2014-2020,140313.92666666667,18595.55,0
ITC1,2014-2020,125287.08333333333,18595.55,0
ITC2,2014-2020,4627.876666666667,18595.55,1
ITC3,2014-2020,46920.87666666667,18595.55,0
ITC4,2014-2020,370483.6166666667,18595.55,0
ITF1,2014-2020,31777.703333333335,18595.55,0
ITF2,2014-2020,6248.373333333333,18595.55,1
ITF3,2014-2020,103334.09999999999,18595.55,0
ITF4,2014-2020,72045.31,18595.55,0
ITF5,2014-2020,11718.823333333334,18595.55,1
ITF6,2014-2020,32504.096666666665,18595.55,0
ITG1,2014-2020,85265.23,18595.55,0
ITG2,2014-2020,33011.833333333336,18595.55,0
ITH1,2014-2020,22948.736666666668,18595.55,0
ITH2,2014-2020,19042.68,18595.55,0
ITH3,2014-2020,152659.08,18595.55,0
ITH4,2014-2020,35701.056666666664,18595.55,0
ITH5,2014-2020,149698.67333333334,18595.55,0
ITI1,2014-2020,110423.68666666666,18595.55,0
ITI2,2014-2020,21276.789999999997,18595.55,0
ITI3,2014-2020,39784.31333333333,18595.55,0
ITI4,2014-2020,191967.26,18595.55,0
ITZZ,2014-2020,1274.5133333333333,18595.55,1
LT01,2014-2020,15148.470000000001,18595.55,1
LT02,2014-2020,22408.713333333333,18595.55,0
LU00,2014-2020,54047.23,18595.55,0
LV00,2014-2020,23642.193333333333,18595.55,0
LVZZ,2014-2020,35.45333333333333,18595.55,1
ME00,2014-2020,3666.2833333333333,18595.55,1
MK00,2014-2020,9096.94,18595.55,1
MT00,2014-2020,9995.786666666667,18595.55,1
MTZZ,2014-2020,15.616666666666667,18595.55,1
NL11,2014-2020,26233.266666666666,18595.55,0
NL12,2014-2020,19050.726666666666,18595.55,0
NL13,2014-2020,14329.943333333335,18595.55,1
NL21,2014-2020,39079.549999999996,18595.55,0
NL22,2014-2020,70249.09333333334,18595.55,0
NL23,2014-2020,12348.699999999999,18595.55,1
NL32,2014-2020,148248.15666666665,18595.55,0
NL34,2014-2020,12416.233333333332,18595.55,1
NL35,2014-2020,64281.166666666664,18595.55,0
NL36,2014-2020,147127.89,18595.55,0
NL41,2014-2020,102911.16666666667,18595.55,0
NL42,2014-2020,39704.340000000004,18595.55,0
