state,year,it_sector_va,total_gdp,it_employment,total_employment
Karnataka,2015,850000,4200000,1200000,28000000
Karnataka,2016,920000,4500000,1300000,29000000
Karnataka,2017,1010000,4900000,1420000,29500000
Karnataka,2018,1120000,5300000,1550000,30000000
Telangana,2015,520000,3100000,780000,17000000
Telangana,2016,590000,3400000,870000,17500000
Telangana,2017,680000,3750000,960000,18000000
Telangana,2018,780000,4100000,1060000,18500000
Maharashtra,2015,710000,15000000,950000,55000000
Maharashtra,2016,760000,16200000,1010000,56000000
Maharashtra,2017,830000,17500000,1090000,57000000
Maharashtra,2018,910000,18800000,1180000,58000000
Tamil Nadu,2015,380000,8500000,520000,35000000
Tamil Nadu,2016,420000,9100000,570000,35500000
Tamil Nadu,2017,470000,9800000,630000,36000000
Tamil Nadu,2018,530000,10600000,700000,36500000
Delhi NCR,2015,310000,4800000,420000,12000000
Delhi NCR,2016,350000,5200000,470000,12500000
Delhi NCR,2017,400000,5700000,530000,13000000
Delhi NCR,2018,460000,6200000,600000,13500000
Uttar Pradesh,2015,45000,10000000,65000,72000000
Uttar Pradesh,2016,52000,10800000,74000,73000000
Uttar Pradesh,2017,60000,11700000,85000,74000000
Uttar Pradesh,2018,70000,12700000,98000,75000000
West Bengal,2015,85000,6200000,120000,42000000
West Bengal,2016,95000,6700000,135000,42500000
West Bengal,2017,108000,7300000,152000,43000000
West Bengal,2018,125000,7900000,172000,43500000
Kerala,2015,120000,3800000,165000,16000000
Kerala,2016,140000,4100000,185000,16200000
Kerala,2017,162000,4500000,210000,16400000
Kerala,2018,188000,4900000,240000,16600000
Rajasthan,2015,28000,5500000,38000,32000000
Rajasthan,2016,33000,5900000,44000,32500000
Rajasthan,2017,39000,6400000,52000,33000000
Rajasthan,2018,46000,6900000,61000,33500000
