year,treated_outcome,synthetic_outcome,gap_treated_minus_synth,treatment_event,acled_event_count,acled_period_flag,period
2000,1.97930843294741,4.09609057659976,-2.11678214365235,0.0,0.0,False,pre
2001,-3.55569593532938,1.35955211640928,-4.9152480517386605,0.0,0.0,False,pre
2002,-2.84267783712218,0.258696268364815,-3.101374105486995,0.0,0.0,False,pre
2003,10.7838721756603,1.05358246778609,9.73028970787421,0.0,0.0,False,pre
2004,2.32576943782377,1.96524683873078,0.3605225990929899,0.0,0.0,False,pre
2005,9.53922388994984,2.38032461797421,7.1588992719756295,0.0,0.0,False,pre
2006,4.3383026664543,4.77751297935043,-0.43921031289612955,0.0,0.0,False,pre
2007,4.06916207450483,5.0854672784842,-1.0163052039793694,0.0,0.0,False,pre
2008,-2.26034195363675,5.17381069878276,-7.43415265241951,0.0,0.0,False,pre
2009,-6.37107364350932,2.7155259206418,-9.08659956415112,0.0,0.0,False,pre
2010,2.90736772244718,3.14977851168294,-0.24241078923575987,0.0,0.0,False,pre
2011,-49.1278565212286,-0.354646267702748,-48.77321025352585,0.0,0.0,False,pre
2012,91.7813702690939,-0.0429670178954922,91.82433728698939,0.0,0.0,False,pre
2013,-19.6276937990081,-0.14323388107762,-19.48445991793048,0.0,0.0,False,pre
2014,-24.5110536856449,0.599558564006458,-25.110612249651357,0.0,0.0,False,post
2015,-2.43005265175647,2.20415858015615,-4.634211231912619,0.0,0.0,False,post
2016,-2.98083261952721,2.24497375649698,-5.22580637602419,0.0,0.0,False,post
2017,30.3950611263495,2.12015477172733,28.27490635462217,0.0,0.0,False,post
2018,6.20327204937865,3.35166753247044,2.8516045169082096,797.0,797.0,True,post
2019,-12.4989174222368,,,1472.0,1472.0,True,post
2020,-30.4001717408883,,,1414.0,1414.0,True,post
2021,26.6853936559494,,,264.0,264.0,True,post
2022,-9.42490206992071,,,260.0,260.0,True,post
2023,8.96534736140164,,,201.0,201.0,True,post
2024,0.859500182813605,,,567.0,567.0,True,post
