year,treated_outcome,synthetic_outcome,gap_treated_minus_synth,treatment_event,acled_event_count,acled_period_flag,period
2000,-1.80421522520456,6.18916534353046,-7.99338056873502,0.0,0.0,False,pre
2001,-1.40284325455362,0.9760327295007927,-2.378875984054413,0.0,0.0,False,pre
2002,1.47328181768793,-2.255594505282384,3.728876322970314,0.0,0.0,False,pre
2003,4.68174171715712,-10.205615836134065,14.887357553291185,0.0,0.0,False,pre
2004,4.2935988060548,16.518829783731423,-12.225230977676624,0.0,0.0,False,pre
2005,3.52095168365396,2.0009453951993246,1.5200062884546353,0.0,0.0,False,pre
2006,0.644012233201963,3.9980951820677624,-3.3540829488657993,0.0,0.0,False,pre
2007,-0.635804298088587,3.6919362246658656,-4.3277405227544525,0.0,0.0,False,pre
2008,0.843363715439807,5.353023926094693,-4.509660210654886,0.0,0.0,False,pre
2009,4.27155320051828,1.9058899435641423,2.3656632569541376,0.0,0.0,False,pre
2010,2.82697106833621,2.4789369362862574,0.3480341320499525,0.0,0.0,False,pre
2011,1.07121071780338,0.9806874484667525,0.09052326933662758,0.0,0.0,False,pre
2012,-25.9560309972065,2.7671518586296107,-28.72318285583611,0.0,0.0,False,pre
2013,-22.5827773307621,0.06898167110256875,-22.65175900186467,0.0,0.0,False,pre
2014,-4.14663574302196,-1.506207213650724,-2.640428529371236,0.0,0.0,False,pre
2015,0.0084650386573628,-0.2567660386229172,0.26523107728028,0.0,0.0,False,pre
2016,-5.28022453338099,3.717006685384684,-8.997231218765673,0.0,0.0,False,pre
2017,-0.882509407808485,-0.06118421719989319,-0.8213251906085918,0.0,0.0,False,pre
2018,-0.435918888364867,1.6190475363046892,-2.0549664246695563,20866.0,20866.0,True,post
2019,-2.63689452644155,2.653409321063944,-5.290303847505494,20062.0,20062.0,True,post
2020,-3.98011071488936,-3.821955212644581,-0.15815550224477892,12454.0,12454.0,True,post
2021,-0.874333294023842,1.0307657305029412,-1.9050990245267831,10830.0,10830.0,True,post
2022,-3.00434829701605,4.235214879764252,-7.239563176780302,12421.0,12421.0,True,post
2023,,0.7519365161093052,,12827.0,12827.0,True,post
2024,,-1.2139829291155648,,15882.0,15882.0,True,post
