year,treated_outcome,synthetic_outcome,gap_treated_minus_synth,treatment_event,acled_event_count,acled_period_flag,period
2000,2.96401092010485,5.100628627072983,-2.136617706968133,0.0,0.0,False,pre
2001,0.714060018641518,1.1510302469132858,-0.4369702282717678,0.0,0.0,False,pre
2002,0.89755669377989,-1.1952664262340027,2.0928231200138927,0.0,0.0,False,pre
2003,0.743278418900516,-5.695908866804683,6.4391872857051995,0.0,0.0,False,pre
2004,0.966767059770078,10.868065842321629,-9.901298782551551,0.0,0.0,False,pre
2005,2.37203185301995,2.023659279866454,0.3483725731534961,0.0,0.0,False,pre
2006,-0.129375630986743,4.042818288457786,-4.172193919444529,0.0,0.0,False,pre
2007,0.045109908702031,4.430029670439291,-4.38491976173726,0.0,0.0,False,pre
2008,0.370978630255152,5.422427343709191,-5.051448713454039,0.0,0.0,False,pre
2009,0.598210143519466,2.6121769710653,-2.013966827545834,0.0,0.0,False,pre
2010,4.3735077841587,3.0317261003978517,1.341781683760848,0.0,0.0,False,pre
2011,-15.3366875285688,0.4504030573763227,-15.787090585945123,0.0,0.0,False,pre
2012,-0.670663085005188,1.6269194028817795,-2.2975824878869675,0.0,0.0,False,pre
2013,1.67911232409898,-0.311366658131784,1.990478982230764,0.0,0.0,False,pre
2014,-3.20471705643189,-1.0725656726551938,-2.132151383776696,0.0,0.0,False,pre
2015,-30.1507550992904,0.6019792892374217,-30.752734388527823,0.0,0.0,False,post
2016,-12.0553743505045,3.3154569145272803,-15.37083126503178,0.0,0.0,False,post
2017,-7.88861205244282,0.9270930361055212,-8.815705088548341,0.0,0.0,False,post
2018,-2.186490192267,2.2120044798444707,-4.398494672111471,11481.0,11481.0,True,post
2019,,2.609107441729889,,11851.0,11851.0,True,post
2020,,-2.993772383714177,,11911.0,11911.0,True,post
2021,,0.6928570750119144,,8849.0,8849.0,True,post
2022,,4.183874862313552,,8098.0,8098.0,True,post
2023,,1.4142111355983438,,7672.0,7672.0,True,post
2024,,0.09476576312436993,,12833.0,12833.0,True,post
