exporter,importer,year,services_trade,goods_trade
USA,GBR,2019,68000,58000
USA,DEU,2019,42000,67000
USA,JPN,2019,38000,72000
USA,CAN,2019,55000,45000
USA,IND,2019,28000,42000
USA,CHN,2019,35000,120000
GBR,USA,2019,52000,48000
GBR,DEU,2019,24000,31000
GBR,FRA,2019,22000,28000
GBR,IND,2019,8500,6200
GBR,CHN,2019,9500,25000
DEU,USA,2019,28000,72000
DEU,GBR,2019,18000,38000
DEU,FRA,2019,32000,65000
DEU,CHN,2019,15000,95000
DEU,JPN,2019,11000,22000
FRA,DEU,2019,26000,48000
FRA,USA,2019,22000,34000
FRA,GBR,2019,19000,28000
FRA,CHN,2019,8000,32000
JPN,USA,2019,32000,68000
JPN,CHN,2019,18000,85000
JPN,DEU,2019,8000,18000
JPN,KOR,2019,14000,32000
IND,USA,2019,45000,28000
IND,GBR,2019,22000,8500
IND,DEU,2019,6500,5200
IND,JPN,2019,5800,6800
CHN,USA,2019,22000,130000
CHN,JPN,2019,12000,72000
CHN,DEU,2019,8000,75000
CHN,KOR,2019,9500,55000
KOR,USA,2019,12000,38000
KOR,JPN,2019,8500,28000
KOR,CHN,2019,11000,62000
CAN,USA,2019,48000,55000
CAN,GBR,2019,6500,4200
