country,year,sector,stri_score
USA,2019,telecommunications,0.18
USA,2019,financial_services,0.21
USA,2019,computer_services,0.12
USA,2019,professional_services,0.25
GBR,2019,telecommunications,0.14
GBR,2019,financial_services,0.16
GBR,2019,computer_services,0.08
GBR,2019,professional_services,0.19
DEU,2019,telecommunications,0.16
DEU,2019,financial_services,0.18
DEU,2019,computer_services,0.10
DEU,2019,professional_services,0.22
FRA,2019,telecommunications,0.20
FRA,2019,financial_services,0.22
FRA,2019,computer_services,0.14
FRA,2019,professional_services,0.28
JPN,2019,telecommunications,0.28
JPN,2019,financial_services,0.24
JPN,2019,computer_services,0.16
JPN,2019,professional_services,0.32
IND,2019,telecommunications,0.42
IND,2019,financial_services,0.48
IND,2019,computer_services,0.22
IND,2019,professional_services,0.52
CHN,2019,telecommunications,0.58
CHN,2019,financial_services,0.55
CHN,2019,computer_services,0.38
CHN,2019,professional_services,0.62
KOR,2019,telecommunications,0.22
KOR,2019,financial_services,0.20
KOR,2019,computer_services,0.14
KOR,2019,professional_services,0.26
CAN,2019,telecommunications,0.20
CAN,2019,financial_services,0.15
CAN,2019,computer_services,0.10
CAN,2019,professional_services,0.18
