country,year,sector,stri_score
AUS,2018,computer_services,0.1758
AUS,2019,computer_services,0.1538
AUS,2020,computer_services,0.1425
AUS,2021,computer_services,0.1258
AUS,2022,computer_services,0.1308
AUS,2018,financial_services,0.1844
AUS,2019,financial_services,0.2248
AUS,2020,financial_services,0.2008
AUS,2021,financial_services,0.1816
AUS,2022,financial_services,0.184
AUS,2018,professional_services,0.207
AUS,2019,professional_services,0.1715
AUS,2020,professional_services,0.2177
AUS,2021,professional_services,0.2063
AUS,2022,professional_services,0.169
AUS,2018,telecommunications,0.148
AUS,2019,telecommunications,0.1954
AUS,2020,telecommunications,0.1615
AUS,2021,telecommunications,0.1936
AUS,2022,telecommunications,0.1818
AUS,2018,transport,0.1402
AUS,2019,transport,0.146
AUS,2020,transport,0.1555
AUS,2021,transport,0.1816
AUS,2022,transport,0.1454
AUT,2018,computer_services,0.1621
AUT,2019,computer_services,0.1279
AUT,2020,computer_services,0.1367
AUT,2021,computer_services,0.1325
AUT,2022,computer_services,0.1751
AUT,2018,financial_services,0.1954
AUT,2019,financial_services,0.1956
AUT,2020,financial_services,0.1888
AUT,2021,financial_services,0.2124
AUT,2022,financial_services,0.2116
AUT,2018,professional_services,0.2429
AUT,2019,professional_services,0.2469
AUT,2020,professional_services,0.2584
AUT,2021,professional_services,0.2387
AUT,2022,professional_services,0.2309
AUT,2018,telecommunications,0.2144
AUT,2019,telecommunications,0.2052
AUT,2020,telecommunications,0.2682
AUT,2021,telecommunications,0.2108
AUT,2022,telecommunications,0.1878
AUT,2018,transport,0.1714
AUT,2019,transport,0.1722
AUT,2020,transport,0.1753
AUT,2021,transport,0.1693
AUT,2022,transport,0.1674
BEL,2018,computer_services,0.1353
BEL,2019,computer_services,0.1367
BEL,2020,computer_services,0.17
BEL,2021,computer_services,0.1404
BEL,2022,computer_services,0.1037
BEL,2018,financial_services,0.1789
BEL,2019,financial_services,0.2274
BEL,2020,financial_services,0.1776
BEL,2021,financial_services,0.1824
BEL,2022,financial_services,0.2034
BEL,2018,professional_services,0.2181
BEL,2019,professional_services,0.1905
BEL,2020,professional_services,0.1934
BEL,2021,professional_services,0.2199
BEL,2022,professional_services,0.1978
BEL,2018,telecommunications,0.2016
BEL,2019,telecommunications,0.1746
BEL,2020,telecommunications,0.1861
BEL,2021,telecommunications,0.1679
BEL,2022,telecommunications,0.152
BEL,2018,transport,0.1475
BEL,2019,transport,0.14
BEL,2020,transport,0.1523
BEL,2021,transport,0.1419
BEL,2022,transport,0.1648
BRA,2018,computer_services,0.2908
BRA,2019,computer_services,0.2772
BRA,2020,computer_services,0.3286
BRA,2021,computer_services,0.2886
BRA,2022,computer_services,0.2779
BRA,2018,financial_services,0.4239
BRA,2019,financial_services,0.4522
BRA,2020,financial_services,0.4068
BRA,2021,financial_services,0.4175
BRA,2022,financial_services,0.4035
