exporter,importer,year,service_category,trade_value
AUS,BEL,2019,financial,70.4
AUS,BEL,2019,other_business,165.8
AUS,BEL,2019,telecom,70.2
AUS,BEL,2019,total_services,533.5
AUS,BEL,2019,transport,99.0
AUS,BEL,2019,travel,156.9
AUS,BEL,2020,financial,64.8
AUS,BEL,2020,other_business,137.0
AUS,BEL,2020,telecom,51.7
AUS,BEL,2020,total_services,587.0
AUS,BEL,2020,transport,96.3
AUS,BEL,2020,travel,97.5
AUS,BEL,2021,financial,78.5
AUS,BEL,2021,other_business,185.2
AUS,BEL,2021,telecom,43.4
AUS,BEL,2021,total_services,550.0
AUS,BEL,2021,transport,85.1
AUS,BEL,2021,travel,101.2
AUS,BRA,2019,financial,175.7
AUS,BRA,2019,other_business,693.8
AUS,BRA,2019,telecom,173.8
AUS,BRA,2019,total_services,1686.4
AUS,BRA,2019,transport,235.2
AUS,BRA,2019,travel,344.7
AUS,BRA,2020,financial,142.7
AUS,BRA,2020,other_business,627.0
AUS,BRA,2020,telecom,168.8
AUS,BRA,2020,total_services,1051.9
AUS,BRA,2020,transport,289.2
AUS,BRA,2020,travel,343.2
AUS,BRA,2021,financial,184.9
AUS,BRA,2021,other_business,479.9
AUS,BRA,2021,telecom,131.0
AUS,BRA,2021,total_services,1749.4
AUS,BRA,2021,transport,302.9
AUS,BRA,2021,travel,426.1
AUS,CAN,2019,financial,123.3
AUS,CAN,2019,other_business,805.6
AUS,CAN,2019,telecom,190.8
AUS,CAN,2019,total_services,1771.0
AUS,CAN,2019,transport,307.4
AUS,CAN,2019,travel,372.8
AUS,CAN,2020,financial,251.0
AUS,CAN,2020,other_business,580.3
AUS,CAN,2020,telecom,170.3
AUS,CAN,2020,total_services,2364.7
AUS,CAN,2020,transport,252.5
AUS,CAN,2020,travel,348.9
AUS,CAN,2021,financial,205.2
AUS,CAN,2021,other_business,853.8
AUS,CAN,2021,telecom,199.0
AUS,CAN,2021,total_services,2107.9
AUS,CAN,2021,transport,407.4
AUS,CAN,2021,travel,375.1
AUS,CHE,2019,financial,103.2
AUS,CHE,2019,other_business,225.8
AUS,CHE,2019,telecom,73.6
AUS,CHE,2019,total_services,814.9
AUS,CHE,2019,transport,106.0
AUS,CHE,2019,travel,139.3
AUS,CHE,2020,financial,76.1
AUS,CHE,2020,other_business,257.8
AUS,CHE,2020,telecom,77.0
AUS,CHE,2020,total_services,933.0
AUS,CHE,2020,transport,155.2
AUS,CHE,2020,travel,181.4
AUS,CHE,2021,financial,74.3
AUS,CHE,2021,other_business,309.4
AUS,CHE,2021,telecom,85.7
AUS,CHE,2021,total_services,937.1
AUS,CHE,2021,transport,139.3
AUS,CHE,2021,travel,197.0
AUS,CHN,2019,financial,1996.3
AUS,CHN,2019,other_business,6957.1
AUS,CHN,2019,telecom,1720.7
AUS,CHN,2019,total_services,14511.4
AUS,CHN,2019,transport,4121.7
AUS,CHN,2019,travel,3216.5
AUS,CHN,2020,financial,2182.2
AUS,CHN,2020,other_business,6125.5
AUS,CHN,2020,telecom,1715.9
AUS,CHN,2020,total_services,14998.5
AUS,CHN,2020,transport,2870.6
AUS,CHN,2020,travel,3313.1
